City,Item,Price
Bangalore,PG - Double Sharing (without meals)per month,"₹8,000"
Bangalore,PG - Triple Sharing (with meals)per month,"₹8,000"
Bangalore,PG - Triple Sharing (without meals)per month,"₹6,000"
Bangalore,"Cook (part-time, 2 meals/day)per month","₹6,500"
Bangalore,Maid / Cleaning Helpper month,"₹2,500"
Bangalore,Laundry / Ironing (dhobi)per month,"₹1,200"
Bangalore,Miscellaneous Monthly Spendper month,"₹2,500"
Bangalore,Men's Casual Shirt (Zara/H&M)per piece,"₹2,500"
Bangalore,Women's Dress (Myntra/Zara)per piece,"₹2,000"
Bangalore,Running Shoes (Nike/Adidas)per pair,"₹5,500"
Bangalore,Skincare Basics (Nykaa avg)per month,"₹1,200"
Bangalore,Amazon Prime Membershipper month,₹149
Bangalore,Gym Membershipper month,"₹2,200"
Bangalore,Movie Ticket (Multiplex)per ticket,₹250
Bangalore,Netflix (Standard Plan)per month,₹649
Bangalore,Spotify Premiumper month,₹119
Bangalore,"Haircut (Men, basic salon)per cut",₹150
Bangalore,"Domestic Beer (pint, restaurant)per pint",₹230
Bangalore,"Imported Beer (bottle, restaurant)per bottle",₹420
Chennai,Veg Thali (local restaurant)per plate,₹100
Chennai,Non-Veg Thali (local restaurant)per plate,₹170
Chennai,Meal for Two (high-end restaurant)per meal,"₹1,300"
Chennai,Chai (regular cup)per cup,₹12
Chennai,Coffee (Cappuccino)per cup,₹180
Chennai,Specialty Coffee (Third Wave)per cup,₹250
Chennai,Street Food (Vada Pav / Samosa)per piece,₹15
Chennai,Biryani (chicken)per plate,₹200
Chennai,Dosa (plain)per plate,₹50
Chennai,Fast Food Combo (McDonald's)per meal,₹250
Chennai,"Soft Drink (Coca-Cola, 300ml)per bottle",₹40
Chennai,Bottled Water (1 litre)per bottle,₹20
Chennai,Rice (Basmati)1 kg,₹95
Chennai,Wheat Flour (Atta)1 kg,₹50
Chennai,Toor Dal1 kg,₹150
Chennai,Milk (Full Cream)1 litre,₹52
Chennai,Eggs12 pcs,₹72
Chennai,Chicken1 kg,₹220
Chennai,Paneer1 kg,₹360
Chennai,Onions1 kg,₹35
Chennai,Tomatoes1 kg,₹40
Chennai,Potatoes1 kg,₹32
Chennai,Cooking Oil (Sunflower)1 litre,₹150
Chennai,Sugar1 kg,₹44
Chennai,Apples (Shimla)1 kg,₹220
Chennai,Bananas1 dozen,₹45
Chennai,"Bread (White, Sliced)1 loaf",₹42
Chennai,Whey Protein (1 kg)per kg,"₹3,000"
Chennai,Auto Rickshaw (minimum fare)per ride,₹25
Chennai,Auto Rickshaw (per km after min)per km,₹12
Chennai,Metro / Local Train (monthly pass)per month,"₹1,200"
Chennai,Bus (monthly pass)per month,₹750
Chennai,Ola/Uber (avg ride)per ride,₹200
Chennai,Petrol1 litre,₹103
Chennai,Diesel1 litre,₹90
Chennai,Two Wheeler EMI (avg)per month,"₹3,500"
Chennai,Car EMI (avg)per month,"₹15,000"
Chennai,Electricityper month,"₹1,800"
Chennai,Water Billper month,₹300
Chennai,Cooking Gas (LPG Cylinder)per cylinder,₹803
Chennai,Broadband Internetper month,₹850
Chennai,Mobile Plan (Jio/Airtel)per month,₹349
Chennai,1 BHK in City Centreper month,"₹18,000"
Chennai,1 BHK Outside City Centreper month,"₹10,000"
Chennai,2 BHK in City Centreper month,"₹32,000"
Chennai,2 BHK Outside City Centreper month,"₹18,000"
